ID,Protected_Area,Violation_Type,Year,Season,Area_m2,Distance_To_Road_km,Distance_To_Urban_km,Fine_Amount,Risk_Level
20,الملك عبدالعزيز,سير المركبات في غير المسارات المخصصة,2022,Autumn,117,17.7,16.9,3827,Low
21,روضة التنهات,حرق النباتات أو الأشجار,2019,Winter,2737,4.6,21.9,20000,Medium
22,روضة التنهات,إتلاف المنشآت الثابتة أو المسيجات,2009,Autumn,63053,9.7,34.9,71959,High
23,الملك عبدالعزيز,رعي الضأن أو الماعز (للرأس الواحد),2016,Spring,324,10.4,35.4,100,Low
24,روضة التنهات,الزراعة داخل المحمية بدون ترخيص,2016,Autumn,1791,10.0,15.7,30000,Medium
25,روضة التنهات,دخول المحمية بدون تصريح,2000,Winter,122,8.3,2.6,5000,Low
26,الإمام تركي,رعي الإبل أو الأبقار (للرأس الواحد),2022,Autumn,139,9.0,28.1,200,Low
27,الإمام تركي,دخول المحمية بدون تصريح,2019,Spring,193,14.6,19.0,5000,Low
28,الملك خالد,قطع الأشجار أو الاحتطاب,2005,Autumn,2430,16.0,8.4,20000,Medium
29,روضة التنهات,إتلاف المنشآت الثابتة أو المسيجات,2018,Autumn,54811,0.4,26.1,183883,High
30,الملك عبدالعزيز,حرق النباتات أو الأشجار,2007,Winter,2343,8.0,26.4,20000,Medium
31,الإمام تركي,سير المركبات في غير المسارات المخصصة,2006,Autumn,450,10.9,35.1,6816,Low
32,الملك عبدالعزيز,الزراعة داخل المحمية بدون ترخيص,2015,Spring,1123,10.6,12.9,30000,Medium
33,الملك عبدالعزيز,إقامة منشآت أو مبانٍ بدون ترخيص,2015,Summer,34855,5.6,35.3,1251082,High
34,الملك عبدالعزيز,إشعال النار في غير الأماكن المخصصة,2003,Spring,3691,17.0,46.8,20000,Medium
35,الملك عبدالعزيز,إطلاق كائنات فطرية غازية أو دخيلة,2013,Spring,53354,13.3,1.2,136063,High
36,الملك خالد,قطع الأشجار أو الاحتطاب,2000,Spring,3734,4.6,35.9,20000,Medium
37,روضة التنهات,ترك أو رمي النفايات غير الخطرة,2015,Autumn,413,14.4,16.1,7015,Low
38,الإمام تركي,إتلاف المنشآت الثابتة أو المسيجات,2018,Spring,50525,11.8,49.0,69830,High
39,الملك عبدالعزيز,دخول المحمية بدون تصريح,2000,Winter,36,10.1,29.3,5000,Low
40,الملك عبدالعزيز,التخييم في المحمية بدون ترخيص,2013,Winter,313,1.0,49.7,7883,High
41,الملك خالد,إتلاف المنشآت الثابتة أو المسيجات,2002,Autumn,37635,6.7,28.1,113208,High
42,روضة التنهات,إطلاق كائنات فطرية غازية أو دخيلة,2017,Winter,70726,17.0,16.5,151564,High
43,الملك خالد,رعي الضأن أو الماعز (للرأس الواحد),2014,Spring,63,11.4,5.8,100,Low
44,الإمام تركي,جمع منتجات كائنات مهددة بالانقراض,2008,Summer,61958,6.5,42.6,132074,High
45,الملك خالد,ترك أو رمي النفايات غير الخطرة,2023,Winter,48,8.5,13.6,6596,Low
46,الملك عبدالعزيز,الزراعة داخل المحمية بدون ترخيص,2013,Autumn,3450,16.0,32.8,30000,Medium
47,الملك خالد,سير المركبات في غير المسارات المخصصة,2021,Summer,380,2.0,29.3,6814,Medium
48,روضة التنهات,الزراعة داخل المحمية بدون ترخيص,2016,Autumn,1074,16.8,43.2,30000,Medium
49,الملك خالد,قطع الأشجار أو الاحتطاب,2020,Autumn,4354,2.6,26.6,20000,Medium
50,الملك عبدالعزيز,سير المركبات في غير المسارات المخصصة,2014,Summer,14,1.1,27.0,5422,Low
51,الإمام تركي,إشعال النار في غير الأماكن المخصصة,2023,Summer,4864,14.3,3.0,20000,Medium
52,الإمام تركي,سير المركبات في غير المسارات المخصصة,2011,Winter,67,1.7,22.0,9761,High
53,روضة التنهات,الزراعة داخل المحمية بدون ترخيص,2024,Autumn,1012,4.9,5.6,30000,Medium
54,روضة التنهات,إقامة منشآت أو مبانٍ بدون ترخيص,2022,Summer,8343,11.1,31.0,416716,High
55,الملك عبدالعزيز,الزراعة داخل المحمية بدون ترخيص,2004,Summer,2179,2.5,17.8,30000,Medium
56,روضة التنهات,رعي الإبل أو الأبقار (للرأس الواحد),2025,Autumn,247,3.6,1.8,200,Low
57,روضة التنهات,حرق النباتات أو الأشجار,2009,Spring,2135,8.7,20.5,20000,Medium
58,روضة التنهات,إطلاق كائنات فطرية غازية أو دخيلة,2000,Autumn,73385,12.6,25.7,136131,High
59,روضة التنهات,التخييم في المحمية بدون ترخيص,2019,Autumn,13,18.9,43.5,3039,Low
60,الملك عبدالعزيز,جمع منتجات كائنات مهددة بالانقراض,2011,Summer,16938,16.2,41.2,478411,High
61,روضة التنهات,التخلص من نفايات خطرة داخل المحمية,2001,Winter,74449,1.5,5.9,612274,High
62,الإمام تركي,جمع منتجات كائنات مهددة بالانقراض,2001,Summer,32350,7.8,34.4,143008,High
63,روضة التنهات,حرق النباتات أو الأشجار,2023,Autumn,3767,7.0,46.9,20000,Medium
64,روضة التنهات,إقامة منشآت أو مبانٍ بدون ترخيص,2002,Winter,94084,8.5,28.9,1282568,High
65,الإمام تركي,ترك أو رمي النفايات غير الخطرة,2004,Autumn,45,11.7,43.5,6073,Low
66,روضة التنهات,حرق النباتات أو الأشجار,2019,Autumn,2826,2.2,45.2,20000,Medium
67,روضة التنهات,قطع الأشجار أو الاحتطاب,2008,Summer,4992,7.8,1.5,20000,Medium
68,الملك عبدالعزيز,ممارسة أنشطة علمية بدون ترخيص,2015,Winter,3002,9.7,25.2,18101,Medium
69,روضة التنهات,إتلاف المنشآت الثابتة أو المسيجات,2024,Summer,94112,15.1,39.8,278275,High
70,روضة التنهات,إقامة منشآت أو مبانٍ بدون ترخيص,2022,Winter,26545,11.0,22.6,555977,High
71,الإمام تركي,دخول المحمية بدون تصريح,2016,Winter,155,13.8,42.0,5000,Low
72,الملك خالد,حرق النباتات أو الأشجار,2004,Winter,1691,16.5,35.6,20000,Medium
73,روضة التنهات,قطع الأشجار أو الاحتطاب,2016,Summer,2886,17.3,44.1,20000,Medium
74,الإمام تركي,ممارسة أنشطة علمية بدون ترخيص,2011,Spring,1824,14.2,24.6,26731,Medium
75,الإمام تركي,دخول المحمية بدون تصريح,2012,Spring,211,2.3,25.1,5000,Low
76,الملك عبدالعزيز,رعي الإبل أو الأبقار (للرأس الواحد),2006,Winter,67,15.4,41.3,200,Low
77,الإمام تركي,التخييم في المحمية بدون ترخيص,2005,Winter,357,5.8,43.6,704,Low
78,الملك خالد,الزراعة داخل المحمية بدون ترخيص,2015,Spring,4127,11.2,16.8,30000,Medium
79,روضة التنهات,دخول المحمية بدون تصريح,2017,Summer,261,11.1,48.5,5000,Low
80,روضة التنهات,التخلص من نفايات خطرة داخل المحمية,2015,Summer,43413,12.6,29.6,264214,High
81,روضة التنهات,دخول المحمية بدون تصريح,2023,Autumn,21,1.3,20.3,5000,Low
82,روضة التنهات,إشعال النار في غير الأماكن المخصصة,2017,Autumn,1645,9.3,18.3,20000,Medium
83,الملك عبدالعزيز,إقامة منشآت أو مبانٍ بدون ترخيص,2020,Autumn,9835,0.7,14.7,1603023,High
84,روضة التنهات,سير المركبات في غير المسارات المخصصة,2018,Autumn,249,1.6,47.1,1124,Low
85,روضة التنهات,رعي الضأن أو الماعز (للرأس الواحد),2012,Winter,418,18.7,43.4,100,Low
86,الإمام تركي,إشعال النار في غير الأماكن المخصصة,2010,Winter,2324,9.7,49.3,20000,Medium
87,الملك خالد,رعي الضأن أو الماعز (للرأس الواحد),2001,Winter,226,16.9,42.1,100,Low
88,الإمام تركي,رعي الضأن أو الماعز (للرأس الواحد),2004,Spring,394,17.3,40.8,100,Low
89,الإمام تركي,إقامة منشآت أو مبانٍ بدون ترخيص,2020,Spring,28574,15.2,19.5,1868532,High
90,روضة التنهات,رعي الإبل أو الأبقار (للرأس الواحد),2016,Autumn,10,12.2,12.2,200,Low
91,الملك عبدالعزيز,جمع منتجات كائنات مهددة بالانقراض,2017,Autumn,41187,10.5,38.8,188311,Medium
92,روضة التنهات,قطع الأشجار أو الاحتطاب,2015,Summer,735,17.5,20.8,20000,Medium
93,الإمام تركي,حرق النباتات أو الأشجار,2006,Spring,3778,12.8,40.4,20000,Medium
94,الملك عبدالعزيز,سير المركبات في غير المسارات المخصصة,2018,Summer,235,12.8,28.2,7149,Low
95,الملك خالد,إطلاق كائنات فطرية غازية أو دخيلة,2009,Summer,99456,18.2,15.6,63413,High
96,روضة التنهات,إقامة منشآت أو مبانٍ بدون ترخيص,2023,Winter,44811,9.9,13.7,1566617,High
97,الملك خالد,قطع الأشجار أو الاحتطاب,2014,Winter,4800,11.6,17.7,20000,Medium
98,الإمام تركي,حرق النباتات أو الأشجار,2024,Summer,3945,3.7,35.1,20000,Medium
99,الملك عبدالعزيز,إتلاف المنشآت الثابتة أو المسيجات,2020,Winter,38434,12.1,12.0,119724,High
100,الملك خالد,سير المركبات في غير المسارات المخصصة,2025,Spring,179,2.5,23.6,4100,Medium
101,الملك خالد,التخلص من نفايات خطرة داخل المحمية,2021,Summer,96865,1.9,24.6,1952436,High
102,الملك عبدالعزيز,رعي الإبل أو الأبقار (للرأس الواحد),2000,Autumn,116,1.3,14.6,200,Low
103,روضة التنهات,إتلاف المنشآت الثابتة أو المسيجات,2025,Autumn,55428,7.5,24.7,268803,High
104,الإمام تركي,رعي الإبل أو الأبقار (للرأس الواحد),2018,Summer,225,1.3,8.2,200,Low
105,الإمام تركي,رعي الضأن أو الماعز (للرأس الواحد),2025,Spring,416,10.7,6.3,100,Low
106,الإمام تركي,إتلاف المنشآت الثابتة أو المسيجات,2024,Winter,40854,7.6,2.0,96271,High
107,الإمام تركي,قطع الأشجار أو الاحتطاب,2003,Spring,625,17.8,30.1,20000,Medium
108,الإمام تركي,ممارسة أنشطة علمية بدون ترخيص,2007,Winter,2656,14.8,28.3,27734,Medium
109,الملك عبدالعزيز,إتلاف المنشآت الثابتة أو المسيجات,2023,Summer,86449,18.0,30.8,150776,High
110,روضة التنهات,قطع الأشجار أو الاحتطاب,2005,Summer,4312,0.2,12.0,20000,Medium
111,الملك عبدالعزيز,إطلاق كائنات فطرية غازية أو دخيلة,2008,Summer,82149,16.1,3.7,197210,High
112,الإمام تركي,إتلاف المنشآت الثابتة أو المسيجات,2010,Autumn,9324,17.9,29.2,126323,High
113,الإمام تركي,قطع الأشجار أو الاحتطاب,2024,Spring,617,3.5,33.8,20000,Medium
114,الإمام تركي,دخول المحمية بدون تصريح,2025,Spring,401,16.8,11.0,5000,Low
115,الملك عبدالعزيز,إتلاف المنشآت الثابتة أو المسيجات,2013,Autumn,63067,10.6,35.7,230448,High
116,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2005,Spring,6917,6.5,30.1,292762,High
117,الملك عبدالعزيز,الزراعة داخل المحمية بدون ترخيص,2001,Autumn,760,19.8,16.8,30000,Medium
118,روضة التنهات,رعي الضأن أو الماعز (للرأس الواحد),2022,Summer,110,12.0,24.1,100,High
119,الملك خالد,رعي الضأن أو الماعز (للرأس الواحد),2020,Autumn,314,14.9,21.0,100,Low
120,الإمام تركي,ممارسة أنشطة علمية بدون ترخيص,2007,Summer,3135,14.8,29.1,9162,Medium
121,روضة التنهات,إقامة منشآت أو مبانٍ بدون ترخيص,2013,Spring,35523,3.8,12.5,361005,High
122,الملك خالد,إطلاق كائنات فطرية غازية أو دخيلة,2007,Spring,21984,13.7,23.1,24060,High
123,الملك عبدالعزيز,إتلاف المنشآت الثابتة أو المسيجات,2016,Winter,78340,8.8,29.3,253173,High
124,الإمام تركي,حرق النباتات أو الأشجار,2018,Spring,4533,18.1,31.6,20000,Medium
125,الملك خالد,إتلاف المنشآت الثابتة أو المسيجات,2000,Autumn,88122,3.4,44.1,74519,High
126,الملك خالد,حرق النباتات أو الأشجار,2004,Summer,1422,3.1,16.3,20000,Medium
127,الإمام تركي,التخلص من نفايات خطرة داخل المحمية,2021,Spring,72779,9.9,38.0,286173,High
128,روضة التنهات,رعي الضأن أو الماعز (للرأس الواحد),2007,Winter,312,2.6,20.5,100,Low
129,روضة التنهات,رعي الضأن أو الماعز (للرأس الواحد),2018,Autumn,333,14.4,32.4,100,Low
130,الملك عبدالعزيز,الزراعة داخل المحمية بدون ترخيص,2007,Spring,2334,16.6,48.0,30000,Medium
131,الملك خالد,إشعال النار في غير الأماكن المخصصة,2007,Spring,1314,12.3,45.7,20000,Medium
132,الملك خالد,ممارسة أنشطة علمية بدون ترخيص,2004,Autumn,2139,2.1,46.0,34595,Medium
133,روضة التنهات,إشعال النار في غير الأماكن المخصصة,2021,Summer,626,11.6,30.7,20000,Medium
134,روضة التنهات,رعي الإبل أو الأبقار (للرأس الواحد),2004,Winter,305,18.2,7.0,200,Low
135,الملك خالد,رعي الإبل أو الأبقار (للرأس الواحد),2022,Summer,429,18.4,43.6,200,Low
136,الملك عبدالعزيز,رعي الضأن أو الماعز (للرأس الواحد),2024,Winter,158,14.9,11.1,100,Low
137,الملك خالد,ممارسة أنشطة علمية بدون ترخيص,2001,Summer,1074,7.0,18.0,35393,Medium
138,روضة التنهات,ترك أو رمي النفايات غير الخطرة,2019,Spring,436,5.0,29.3,5971,Low
139,روضة التنهات,إشعال النار في غير الأماكن المخصصة,2020,Winter,4880,12.7,1.6,20000,Medium
140,الإمام تركي,التخلص من نفايات خطرة داخل المحمية,2007,Winter,51163,8.4,5.2,24816,High
141,الإمام تركي,التخلص من نفايات خطرة داخل المحمية,2016,Winter,6759,8.6,40.2,786452,High
142,روضة التنهات,رعي الإبل أو الأبقار (للرأس الواحد),2014,Spring,153,1.4,39.0,200,Low
143,الملك خالد,قطع الأشجار أو الاحتطاب,2007,Winter,2661,15.3,6.0,20000,Medium
144,الإمام تركي,حرق النباتات أو الأشجار,2022,Autumn,1981,10.6,40.2,20000,Medium
145,الملك عبدالعزيز,جمع منتجات كائنات مهددة بالانقراض,2007,Spring,90382,5.2,10.6,159575,Low
146,روضة التنهات,رعي الضأن أو الماعز (للرأس الواحد),2001,Summer,238,13.1,12.7,100,Low
147,الملك عبدالعزيز,إشعال النار في غير الأماكن المخصصة,2004,Spring,1811,16.6,20.5,20000,Medium
148,روضة التنهات,رعي الإبل أو الأبقار (للرأس الواحد),2000,Summer,232,1.8,32.0,200,Low
149,روضة التنهات,إتلاف المنشآت الثابتة أو المسيجات,2000,Summer,25079,12.9,35.5,217292,High
150,روضة التنهات,إطلاق كائنات فطرية غازية أو دخيلة,2019,Winter,90514,7.3,2.7,113145,High
151,روضة التنهات,قطع الأشجار أو الاحتطاب,2019,Spring,1779,8.8,15.4,20000,Medium
152,الملك خالد,سير المركبات في غير المسارات المخصصة,2017,Summer,289,9.5,9.9,2879,Low
153,روضة التنهات,رعي الإبل أو الأبقار (للرأس الواحد),2021,Spring,18,12.7,13.6,200,Low
154,الإمام تركي,رعي الإبل أو الأبقار (للرأس الواحد),2004,Summer,13,18.0,34.9,200,Low
155,الملك خالد,جمع منتجات كائنات مهددة بالانقراض,2005,Spring,66268,1.4,20.9,481459,High
156,الملك عبدالعزيز,حرق النباتات أو الأشجار,2007,Spring,841,18.0,43.8,20000,Medium
157,الملك عبدالعزيز,التخييم في المحمية بدون ترخيص,2025,Spring,318,16.8,20.8,8846,Low
158,الملك عبدالعزيز,جمع منتجات كائنات مهددة بالانقراض,2020,Summer,43709,12.1,13.0,242192,High
159,الملك عبدالعزيز,دخول المحمية بدون تصريح,2001,Summer,173,6.0,28.8,5000,Low
160,الإمام تركي,إشعال النار في غير الأماكن المخصصة,2012,Summer,2285,11.9,3.5,20000,Low
161,الملك خالد,ممارسة أنشطة علمية بدون ترخيص,2024,Winter,653,1.6,36.7,41385,Medium
162,الإمام تركي,إشعال النار في غير الأماكن المخصصة,2011,Summer,4620,16.4,40.2,20000,Medium
163,الملك خالد,قطع الأشجار أو الاحتطاب,2016,Spring,2822,16.2,48.1,20000,Medium
164,روضة التنهات,حرق النباتات أو الأشجار,2020,Winter,4607,17.5,36.9,20000,Medium
165,الإمام تركي,إقامة منشآت أو مبانٍ بدون ترخيص,2014,Summer,72957,5.1,25.0,115423,High
166,الملك خالد,ممارسة أنشطة علمية بدون ترخيص,2020,Spring,546,18.5,9.8,28935,Medium
167,الملك خالد,حرق النباتات أو الأشجار,2007,Spring,4353,14.6,10.4,20000,Medium
168,الإمام تركي,حرق النباتات أو الأشجار,2017,Summer,2000,17.3,42.4,20000,Medium
169,الملك خالد,حرق النباتات أو الأشجار,2002,Winter,1682,11.3,24.6,20000,Medium
170,الإمام تركي,إشعال النار في غير الأماكن المخصصة,2003,Winter,4778,11.5,40.4,20000,Medium
171,الملك خالد,ممارسة أنشطة علمية بدون ترخيص,2022,Summer,3269,12.4,12.4,49288,Medium
172,الملك خالد,جمع منتجات كائنات مهددة بالانقراض,2006,Spring,34430,18.8,40.1,256604,High
173,الملك عبدالعزيز,التخييم في المحمية بدون ترخيص,2023,Autumn,455,9.6,31.7,2232,Low
174,الإمام تركي,ممارسة أنشطة علمية بدون ترخيص,2016,Summer,4861,8.5,37.1,40837,Medium
175,روضة التنهات,رعي الإبل أو الأبقار (للرأس الواحد),2024,Autumn,385,6.0,12.4,200,Low
176,روضة التنهات,إقامة منشآت أو مبانٍ بدون ترخيص,2011,Summer,95093,7.7,34.3,777950,High
177,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2023,Summer,50028,19.6,44.3,248506,High
178,الملك خالد,التخييم في المحمية بدون ترخيص,2021,Winter,235,4.7,47.2,8078,Low
179,الإمام تركي,التخييم في المحمية بدون ترخيص,2002,Autumn,375,4.5,10.1,7474,Low
180,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2025,Winter,55948,17.7,46.5,1656645,High
181,روضة التنهات,دخول المحمية بدون تصريح,2002,Autumn,499,9.9,49.8,5000,Low
182,الإمام تركي,قطع الأشجار أو الاحتطاب,2001,Summer,1392,11.9,29.4,20000,Medium
183,روضة التنهات,إشعال النار في غير الأماكن المخصصة,2011,Spring,3182,17.8,47.8,20000,Medium
184,روضة التنهات,رعي الضأن أو الماعز (للرأس الواحد),2014,Spring,49,14.7,14.8,100,Low
185,الملك عبدالعزيز,دخول المحمية بدون تصريح,2012,Autumn,398,1.7,11.8,5000,Medium
186,روضة التنهات,التخييم في المحمية بدون ترخيص,2025,Summer,90,9.7,30.0,5433,Low
187,الملك عبدالعزيز,إشعال النار في غير الأماكن المخصصة,2015,Autumn,4430,14.7,26.5,20000,Medium
188,الملك عبدالعزيز,التخلص من نفايات خطرة داخل المحمية,2009,Autumn,70082,16.8,35.2,1052343,High
189,الإمام تركي,دخول المحمية بدون تصريح,2024,Summer,431,17.6,48.1,5000,Low
190,الإمام تركي,حرق النباتات أو الأشجار,2003,Spring,3219,14.9,8.9,20000,Medium
191,الملك خالد,التخييم في المحمية بدون ترخيص,2016,Autumn,486,12.4,49.1,9939,High
192,الإمام تركي,جمع منتجات كائنات مهددة بالانقراض,2006,Spring,17987,15.6,6.2,218383,High
193,روضة التنهات,ترك أو رمي النفايات غير الخطرة,2003,Autumn,491,18.6,6.0,2435,Low
194,الملك عبدالعزيز,إطلاق كائنات فطرية غازية أو دخيلة,2021,Spring,12491,14.2,24.2,191264,High
195,الملك عبدالعزيز,دخول المحمية بدون تصريح,2003,Summer,219,19.5,48.5,5000,Low
196,الإمام تركي,إطلاق كائنات فطرية غازية أو دخيلة,2010,Spring,32083,7.5,41.1,67372,Medium
197,الإمام تركي,الزراعة داخل المحمية بدون ترخيص,2012,Winter,4053,19.9,21.9,30000,Medium
198,الإمام تركي,رعي الضأن أو الماعز (للرأس الواحد),2014,Spring,384,6.0,42.2,100,Low
199,الملك عبدالعزيز,قطع الأشجار أو الاحتطاب,2020,Summer,4030,19.0,8.4,20000,Medium
200,الملك عبدالعزيز,إقامة منشآت أو مبانٍ بدون ترخيص,2000,Spring,33602,5.6,49.2,718691,High
201,الملك عبدالعزيز,قطع الأشجار أو الاحتطاب,2023,Autumn,4098,4.1,43.5,20000,Medium
202,الملك خالد,رعي الضأن أو الماعز (للرأس الواحد),2020,Autumn,217,3.3,11.0,100,Low
203,الإمام تركي,دخول المحمية بدون تصريح,2011,Winter,183,0.5,40.0,5000,Low
204,الملك عبدالعزيز,سير المركبات في غير المسارات المخصصة,2006,Winter,387,9.3,1.1,3146,Low
205,الملك خالد,سير المركبات في غير المسارات المخصصة,2021,Spring,349,4.6,8.9,1963,Low
206,روضة التنهات,إقامة منشآت أو مبانٍ بدون ترخيص,2017,Spring,59615,9.2,1.6,616791,High
207,الملك عبدالعزيز,جمع منتجات كائنات مهددة بالانقراض,2000,Autumn,88309,5.9,35.1,438590,High
208,الملك خالد,ممارسة أنشطة علمية بدون ترخيص,2013,Autumn,1278,3.0,6.0,33981,Medium
209,الإمام تركي,ترك أو رمي النفايات غير الخطرة,2001,Winter,319,0.3,17.0,3720,Low
210,روضة التنهات,ممارسة أنشطة علمية بدون ترخيص,2006,Spring,4544,8.0,7.5,19333,Medium
211,الملك خالد,الزراعة داخل المحمية بدون ترخيص,2010,Winter,4738,3.4,6.1,30000,Medium
212,الإمام تركي,دخول المحمية بدون تصريح,2008,Spring,399,12.4,31.0,5000,Low
213,الملك عبدالعزيز,إشعال النار في غير الأماكن المخصصة,2006,Summer,4411,16.1,17.6,20000,Medium
214,الملك عبدالعزيز,ترك أو رمي النفايات غير الخطرة,2009,Spring,397,12.9,26.8,1021,Low
215,الإمام تركي,جمع منتجات كائنات مهددة بالانقراض,2025,Summer,85885,3.3,43.7,122715,High
216,الإمام تركي,رعي الإبل أو الأبقار (للرأس الواحد),2018,Autumn,365,17.4,22.2,200,Low
217,الملك خالد,قطع الأشجار أو الاحتطاب,2009,Summer,1161,10.9,25.2,20000,Medium
218,الإمام تركي,التخييم في المحمية بدون ترخيص,2020,Summer,102,16.8,9.5,6278,Low
219,الملك خالد,التخييم في المحمية بدون ترخيص,2023,Spring,33,14.7,38.6,8795,Low
220,روضة التنهات,إتلاف المنشآت الثابتة أو المسيجات,2001,Summer,9703,14.5,24.8,246200,High
221,الملك خالد,إطلاق كائنات فطرية غازية أو دخيلة,2002,Winter,50350,5.7,18.6,153273,High
222,الملك خالد,إشعال النار في غير الأماكن المخصصة,2022,Spring,3458,15.5,20.9,20000,Medium
223,الملك عبدالعزيز,رعي الإبل أو الأبقار (للرأس الواحد),2008,Spring,343,8.3,4.4,200,Low
224,الملك خالد,سير المركبات في غير المسارات المخصصة,2006,Spring,390,11.6,33.5,1846,Low
225,روضة التنهات,دخول المحمية بدون تصريح,2000,Autumn,354,5.2,33.2,5000,Low
226,الملك عبدالعزيز,إشعال النار في غير الأماكن المخصصة,2021,Spring,4896,4.8,44.3,20000,Medium
227,الملك عبدالعزيز,الزراعة داخل المحمية بدون ترخيص,2010,Autumn,3391,8.7,13.2,30000,Medium
228,روضة التنهات,ممارسة أنشطة علمية بدون ترخيص,2011,Winter,1075,12.2,18.5,7099,Medium
229,روضة التنهات,التخلص من نفايات خطرة داخل المحمية,2019,Spring,14847,17.3,28.3,31155,High
230,الملك خالد,جمع منتجات كائنات مهددة بالانقراض,2002,Spring,71504,1.1,32.4,228686,High
231,روضة التنهات,إقامة منشآت أو مبانٍ بدون ترخيص,2017,Autumn,34856,13.8,20.5,1723136,High
232,الإمام تركي,دخول المحمية بدون تصريح,2023,Summer,135,12.8,43.5,5000,Low
233,الإمام تركي,جمع منتجات كائنات مهددة بالانقراض,2015,Spring,14110,0.7,16.1,129141,High
234,الملك خالد,سير المركبات في غير المسارات المخصصة,2005,Winter,384,2.0,34.0,7375,Low
235,الإمام تركي,قطع الأشجار أو الاحتطاب,2009,Spring,1698,16.8,47.3,20000,Medium
236,الملك خالد,جمع منتجات كائنات مهددة بالانقراض,2007,Winter,86040,11.5,2.5,336233,High
237,الملك خالد,إطلاق كائنات فطرية غازية أو دخيلة,2025,Spring,36890,7.9,32.9,89134,High
238,الملك عبدالعزيز,جمع منتجات كائنات مهددة بالانقراض,2020,Winter,22087,19.9,37.9,55704,High
239,الإمام تركي,ممارسة أنشطة علمية بدون ترخيص,2001,Spring,1847,18.5,22.5,49508,Medium
240,روضة التنهات,ممارسة أنشطة علمية بدون ترخيص,2024,Winter,1350,2.5,27.7,18772,Medium
241,الإمام تركي,التخلص من نفايات خطرة داخل المحمية,2024,Winter,32723,13.9,20.0,1966977,High
242,روضة التنهات,ترك أو رمي النفايات غير الخطرة,2009,Spring,300,12.1,33.7,7059,Low
243,الملك خالد,ممارسة أنشطة علمية بدون ترخيص,2020,Winter,1526,10.4,24.5,23612,Medium
244,الملك خالد,ممارسة أنشطة علمية بدون ترخيص,2014,Summer,511,11.6,27.1,22636,Medium
245,الملك عبدالعزيز,حرق النباتات أو الأشجار,2010,Summer,3045,10.5,41.3,20000,Medium
246,الملك عبدالعزيز,رعي الضأن أو الماعز (للرأس الواحد),2014,Autumn,126,4.9,46.4,100,Low
247,روضة التنهات,التخييم في المحمية بدون ترخيص,2019,Spring,479,9.8,13.6,5082,Low
248,الإمام تركي,التخييم في المحمية بدون ترخيص,2012,Autumn,248,14.4,20.6,7511,Low
249,الملك خالد,ممارسة أنشطة علمية بدون ترخيص,2006,Summer,4945,3.7,26.7,35054,Medium
250,الملك عبدالعزيز,التخلص من نفايات خطرة داخل المحمية,2006,Spring,95025,19.3,24.7,734532,High
251,روضة التنهات,سير المركبات في غير المسارات المخصصة,2008,Spring,385,16.4,44.3,6484,Low
252,روضة التنهات,رعي الضأن أو الماعز (للرأس الواحد),2023,Autumn,19,7.3,45.4,100,Low
